Experiment;Runs;Death Costs;Avg. Cost;Avg. Deaths;Avg. Interventions
NoShield;1500;10;21.7927;0.176;0
PostShielded;1500;1000;28.1943;0;1.032
PostShielded;1500;100;23.9216;0;0.991
PostShielded;1500;10;24.1176;0;1.349
PreShielded;3000;-;21.2053;0;0.638
NoShield;3000;1000;23.3223;0;0
NoShield;3000;100;23.3783;0.016;0
NoShield;3000;10;21.2738;0.022;0
PostShielded;3000;1000;24.87;0;0.798
PostShielded;3000;100;24.5206;0;1.204
PostShielded;3000;10;23.5935;0;1.328
PreShielded;6000;-;21.3581;0;0.784
NoShield;6000;1000;26.7391;0;0
NoShield;6000;100;22.8196;0;0
NoShield;6000;10;20.0728;0.009;0
PostShielded;6000;1000;26.0737;0;1.064
PostShielded;6000;100;23.6329;0;0.96
PostShielded;6000;10;21.0374;0;1.073
PreShielded;12000;-;20.9782;0;0.746
NoShield;12000;1000;23.146;0;0
NoShield;12000;100;20.9415;0;0
NoShield;12000;10;20.5907;0.007;0
PostShielded;12000;1000;23.4158;0;0.72
PostShielded;12000;100;21.4574;0;0.864
PostShielded;12000;10;21.646;0;1.057
Layabout;0;-;27.1689;0;2.89
PreShielded;1500;-;21.2294;0;1.119
NoShield;1500;1000;23.2873;0;0
NoShield;1500;100;23.4342;0;0
NoShield;1500;10;20.3434;0.041;0
PostShielded;1500;1000;24.2004;0;0.775
PostShielded;1500;100;23.8608;0;0.633
PostShielded;1500;10;20.9411;0;1.116
PreShielded;3000;-;21.1966;0;0.998
NoShield;3000;1000;23.1073;0;0
NoShield;3000;100;23.0687;0.005;0
NoShield;3000;10;20.2155;0.094;0
PostShielded;3000;1000;23.6707;0;0.561
PostShielded;3000;100;23.7328;0;0.999
PostShielded;3000;10;21.6705;0;1.209
PreShielded;6000;-;21.2202;0;0.447
NoShield;6000;1000;22.2471;0;0
NoShield;6000;100;21.6885;0.002;0
NoShield;6000;10;21.2098;0.022;0
PostShielded;6000;1000;22.4132;0;0.746
PostShielded;6000;100;22.8398;0;0.988
PostShielded;6000;10;22.3673;0;1.092
PreShielded;12000;-;21.0752;0;0.752
NoShield;12000;1000;21.7046;0;0
NoShield;12000;100;21.1038;0;0
NoShield;12000;10;20.1683;0.016;0
PostShielded;12000;1000;22.031;0;0.506
PostShielded;12000;100;21.4819;0;0.729
PostShielded;12000;10;21.3066;0;1.041
Layabout;0;-;26.9904;0;2.848
PreShielded;1500;-;21.0691;0;0.896
NoShield;1500;1000;24.3195;0;0
NoShield;1500;100;25.9016;0;0
NoShield;1500;10;20.8778;0.031;0
PostShielded;1500;1000;25.089;0;0.754
PostShielded;1500;100;27.1005;0;0.603
PostShielded;1500;10;23.7444;0;1.424
PreShielded;3000;-;21.3431;0;1.086
NoShield;3000;1000;22.7469;0;0
NoShield;3000;100;24.0809;0;0
NoShield;3000;10;20.2552;0.037;0
PostShielded;3000;1000;24.1662;0;0.778
PostShielded;3000;100;25.5627;0;0.864
PostShielded;3000;10;20.9868;0;0.903
PreShielded;6000;-;21.0675;0;0.699
NoShield;6000;1000;24.3362;0;0
NoShield;6000;100;22.8945;0;0
NoShield;6000;10;20.398;0.031;0
PostShielded;6000;1000;24.3428;0;0
PostShielded;6000;100;23.6522;0;0.875
PostShielded;6000;10;21.6614;0;1.215
PreShielded;12000;-;21.1096;0;0.685
NoShield;12000;1000;21.9641;0;0
NoShield;12000;100;20.8309;0;0
NoShield;12000;10;20.456;0.001;0
PostShielded;12000;1000;22.885;0;0.669
PostShielded;12000;100;21.2316;0;0.827
PostShielded;12000;10;21.4186;0;1.049
Layabout;0;-;27.0907;0;2.882
PreShielded;1500;-;22.9459;0;1.109
NoShield;1500;1000;25.391;0;0
NoShield;1500;100;28.1928;0;0
NoShield;1500;10;27.4263;0.244;0
PostShielded;1500;1000;27.2912;0;1.506
PostShielded;1500;100;27.4142;0;1.159
PostShielded;1500;10;27.9792;0;2.312
PreShielded;3000;-;21.1491;0;1.158
NoShield;3000;1000;24.3717;0;0
NoShield;3000;100;21.877;0.001;0
NoShield;3000;10;20.0308;0.066;0
PostShielded;3000;1000;24.4821;0;0.03
PostShielded;3000;100;23.2271;0;0.767
PostShielded;3000;10;23.0523;0;1.278
PreShielded;6000;-;21.4289;0;1.079
NoShield;6000;1000;23.9127;0;0
NoShield;6000;100;21.827;0;0
NoShield;6000;10;20.575;0.009;0
PostShielded;6000;1000;24.5464;0;0.732
PostShielded;6000;100;22.5421;0;0.844
PostShielded;6000;10;22.2466;0;1.064
PreShielded;12000;-;21.2016;0;0.709
NoShield;12000;1000;23.6232;0;0
NoShield;12000;100;21.0572;0;0
NoShield;12000;10;19.9884;0.008;0
PostShielded;12000;1000;23.5275;0;0
PostShielded;12000;100;22.269;0;0.897
PostShielded;12000;10;21.0771;0;1.141
Layabout;0;-;27.2248;0;2.886
PreShielded;1500;-;22.9669;0;1.011
NoShield;1500;1000;26.0593;0;0
NoShield;1500;100;26.3176;0;0
NoShield;1500;10;20.4363;0.029;0
PostShielded;1500;1000;28.5272;0;1.638
PostShielded;1500;100;27.0602;0;0.445
PostShielded;1500;10;21.4958;0;1.002
PreShielded;3000;-;21.1148;0;0.948
NoShield;3000;1000;23.7268;0;0
NoShield;3000;100;22.2428;0.001;0
NoShield;3000;10;22.2861;0.011;0
PostShielded;3000;1000;24.8997;0;0.772
PostShielded;3000;100;22.9795;0;0.803
PostShielded;3000;10;25.8163;0;1.614
PreShielded;6000;-;21.1501;0;0.073
NoShield;6000;1000;22.4696;0;0
NoShield;6000;100;20.6747;0;0
NoShield;6000;10;20.4568;0;0
PostShielded;6000;1000;23.818;0;0.872
PostShielded;6000;100;21.7545;0;1.052
PostShielded;6000;10;21.2821;0;0.993
PreShielded;12000;-;21.0911;0;0.857
NoShield;12000;1000;24.2977;0;0
NoShield;12000;100;21.5581;0;0
NoShield;12000;10;20.1144;0.001;0
PostShielded;12000;1000;25.093;0;0.767
PostShielded;12000;100;22.2012;0;0.867
PostShielded;12000;10;21.6981;0;1.112
