Experiment;Runs;Death Costs;Avg. Swings;Avg. Deaths;Avg. Interventions
PostShielded;6000;1000;63.895;0;41.746
PostShielded;6000;100;66.393;0;49.48
PostShielded;6000;10;69.257;0;69.263
PreShielded;12000;-;36.797;0;0.276
PreShielded;1500;-;39.407;0;0.662
NoShield;1500;1000;41.764;0.025;0
NoShield;1500;100;46.697;0.102;0
NoShield;1500;10;0;5.065;0
PostShielded;1500;1000;65.896;0;43.875
PostShielded;1500;100;75.69;0;48.505
PostShielded;1500;10;69.138;0;69.216
PreShielded;3000;-;37.421;0;0.633
PostShielded;3000;1000;62.279;0;38.183
PostShielded;3000;100;65.412;0;44.1
PostShielded;3000;10;69.202;0;69.127
PreShielded;6000;-;38.197;0;0.479
NoShield;6000;1000;40.2;0.029;0
NoShield;6000;100;40.653;0.034;0
NoShield;6000;10;0;5.062;0
PostShielded;6000;1000;62.908;0;37.799
PostShielded;6000;100;66.627;0;47.382
PostShielded;6000;10;69.179;0;69.204
PreShielded;12000;-;36.87;0;0.143
NoShield;12000;-;38.539;0.001;0
PostShielded;12000;-;61.575;0;36.683
Layabout;0;-;69.239;0;69.105
PreShielded;1500;-;37.909;0;0.826
NoShield;1500;1000;42.098;0.042;0
NoShield;1500;100;39.806;0.022;0
NoShield;1500;10;0.053;5.063;0
PostShielded;1500;1000;60.883;0;35.046
PostShielded;1500;100;62.994;0;37.938
PostShielded;1500;10;69.417;0;69.157
PreShielded;3000;-;37.143;0;0.507
PreShielded;6000;-;37.579;0;0.695
NoShield;6000;1000;42.339;0.031;0
NoShield;6000;100;38.508;0.001;0
NoShield;6000;10;0;5.065;0
PostShielded;6000;1000;67.741;0;50.555
PostShielded;6000;100;62.858;0;38.443
PostShielded;6000;10;69.195;0;69.322
PreShielded;12000;-;36.927;0;0.418
NoShield;12000;1000;41.719;0.054;0
NoShield;12000;100;40.285;0.034;0
NoShield;12000;10;0;5.045;0
PostShielded;12000;1000;66.933;0;49.691
PostShielded;12000;100;66.638;0;48.711
PostShielded;12000;10;69.229;0;69.203
Layabout;0;-;69.173;0;69.168
PreShielded;1500;-;38.194;0;0.809
NoShield;1500;1000;39.585;0.013;0
NoShield;1500;100;42.677;0.137;0
NoShield;1500;10;0.025;5.058;0
PreShielded;3000;-;38.316;0;0.857
NoShield;3000;1000;40.98;0.012;0
NoShield;3000;100;40.286;0.045;0
NoShield;3000;10;0;5.059;0
PostShielded;3000;1000;66.465;0;45.89
PostShielded;3000;100;64.593;0;41.858
PostShielded;3000;10;69.288;0;69.27
PreShielded;6000;-;37.391;0;0.849
NoShield;6000;1000;38.621;0;0
NoShield;6000;100;40.474;0.035;0
NoShield;6000;10;0;5.065;0
PostShielded;6000;1000;56.062;0;24.889
PostShielded;6000;100;66.568;0;47.26
PostShielded;6000;10;69.23;0;69.217
PreShielded;12000;-;37.219;0;0.394
NoShield;12000;-;41.542;0.018;0
